track_artist,n_tracks,n_albums,playlist_reach,n_genres,n_subgenres,avg_popularity,max_popularity,std_popularity,latest_release,dominant_genre,dominant_subgenre,avg_danceability,avg_energy,avg_loudness,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,days_since_release,recency_score,campaign_lift_score,relevance_grade,artist_id
Neutro Shorty,2,1,2,1,1,54.0,61,9.899494936611665,2019-07-26,rap,trap,0.7985,0.5429999999999999,-7.4245,0.19,0.313,0.0,0.12065000000000001,0.4965,135.5045,178,0.6721915285451197,0.5101128026266304,6,Neutro Shorty
New Edition,15,9,9,2,3,23.933333333333334,61,26.908486889207772,2012-11-16,r&b,new jack swing,0.6884666666666667,0.7020666666666667,-8.7538,0.05874,0.30342,0.00356374,0.27852,0.7394,114.21893333333333,2621,0.12223710649698591,-0.09744264068392752,5,New Edition
New Kids On The Block,2,2,1,1,1,57.5,61,4.949747468305833,1990-05-31,r&b,new jack swing,0.7875000000000001,0.5760000000000001,-12.661999999999999,0.05935,0.02,4.0200000000000005e-06,0.11405000000000001,0.9025000000000001,118.4625,10826,0.03261549459387007,0.8947119101872212,8,New Kids On The Block
New Order,17,10,7,2,2,46.76470588235294,73,19.854248322980858,2017-12-01,rock,permanent wave,0.6056470588235294,0.8545294117647059,-7.765823529411765,0.04480588235294118,0.019660288235294116,0.47752448764705885,0.2218470588235294,0.7728823529411765,131.85176470588235,780,0.3187772925764192,-0.6820487404995225,3,New Order
New Politics,3,2,2,2,3,50.333333333333336,57,5.773502691896258,2019-10-18,rock,classic rock,0.597,0.8946666666666667,-4.393666666666666,0.08676666666666666,0.02163,0.000539,0.159,0.7666666666666666,151.34,94,0.7952069716775598,0.6123664813544454,8,New Politics
New World Sound,9,5,2,1,3,0.0,0,0.0,2014-04-28,edm,electro house,0.7011111111111111,0.8806666666666667,-5.6467777777777775,0.06194444444444444,0.004595999999999999,0.7280111111111112,0.10043333333333333,0.1758,127.35833333333332,2093,0.1484947111472742,-0.5122633436366528,3,New World Sound
Newclaess,3,3,2,1,2,35.666666666666664,45,10.692676621563626,2019-12-20,edm,progressive electro house,0.6483333333333333,0.8523333333333333,-4.3453333333333335,0.05996666666666667,0.0386,0.00038330000000000005,0.23386666666666667,0.303,126.00933333333334,31,0.9217171717171717,-1.2158733954886556,1,Newclaess
Nexeri,2,2,2,2,2,43.5,44,0.7071067811865476,2019-12-13,edm,progressive electro house,0.6895,0.8334999999999999,-6.5705,0.0521,0.043550000000000005,4.24e-06,0.1605,0.3685,122.0135,38,0.9057071960297767,0.5551125245513434,7,Nexeri
Next,8,6,6,2,3,35.25,64,24.835170913156897,2014-11-18,r&b,new jack swing,0.788875,0.49262500000000004,-8.788,0.0748625,0.08887375,0.0,0.1787375,0.719125,109.28812500000001,1889,0.1619343389529725,-0.6485780147888294,3,Next
Next Habit,2,2,1,1,1,34.0,37,4.242640687119285,2020-01-17,edm,progressive electro house,0.6875,0.6455,-9.09,0.037500000000000006,0.026,0.0494,0.2235,0.5235,124.455,3,0.9918478260869564,-0.3700702562182816,3,Next Habit
